1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.858627	0.000000	130.423082	0.007238	15.9
1	-0.853742	0.000000	130.423082	0.006575	0.8
2	-0.856837	0.000000	130.423082	0.012866	0.8
3	-0.877786	0.000000	130.423082	0.007516	0.7
4	-0.873529	0.000000	130.423082	0.005563	0.7
5	-0.893181	0.000000	130.423082	0.006201	0.7
6	-0.904389	0.000000	130.423082	0.006044	0.7
7	-0.893620	0.999985	124.494843	0.013732	0.7
8	-0.893835	1.999985	119.082021	0.010069	0.7
9	-0.885049	2.999985	114.120267	0.006374	0.7
10	-0.891575	2.898578	114.604508	0.005048	0.7
11	-0.875285	3.898578	110.001654	0.007630	0.7
12	-0.889656	3.797992	110.447843	0.010397	0.7
13	-0.894985	4.222228	108.590116	0.009131	0.7
14	-0.872223	4.120821	109.028473	0.009161	0.7
15	-0.880741	5.120821	104.854466	0.007753	0.7
16	-0.889935	6.120821	100.988268	0.008527	0.7
17	-0.886233	7.120821	97.397040	0.007915	0.7
18	-0.890074	8.120821	94.052456	0.005545	0.7
19	-0.898443	8.019413	94.381120	0.010098	0.7
20	-0.902979	7.918005	94.712089	0.011811	0.7
21	-0.881705	8.918005	91.546367	0.011591	0.7
22	-0.868901	9.918005	88.585427	0.009318	0.7
23	-0.914893	10.918005	85.810021	0.007010	0.7
24	-0.886684	11.917717	83.203970	0.011145	0.7
25	-0.926635	12.917717	80.750857	0.015725	0.7
26	-0.922297	13.917717	78.438253	0.015453	0.7
27	-0.901502	14.917717	76.254421	0.014800	0.7
28	-0.914462	15.917717	74.188898	0.013844	0.7
29	-0.874910	16.917717	72.232322	0.013961	0.6
30	-0.903147	17.917717	70.376295	0.015269	0.7
31	-0.881973	18.917717	68.613261	0.013553	0.6
32	-0.903961	19.917717	66.936401	0.006993	0.7
33	-0.918806	20.917717	65.339549	0.006168	0.7
34	-0.945164	21.917717	63.817111	0.004709	0.7
35	-0.864870	22.917716	62.364006	0.006522	0.7
36	-0.870164	23.917716	60.975601	0.009301	0.7
37	-0.882589	24.917716	59.647669	0.013770	0.7
38	-0.933480	25.917716	58.376344	0.012820	0.7
39	-0.925743	26.917716	57.158082	0.011750	0.7
40	-0.902955	27.917716	55.989628	0.008953	0.7
41	-0.919971	28.917716	54.867990	0.003190	0.7
42	-0.935292	29.917716	53.790408	0.006179	0.7
43	-0.937216	29.816308	53.897751	0.004721	0.7
44	-0.919095	30.816308	52.857581	0.004569	0.7
45	-0.895958	31.816293	51.856815	0.006570	0.7
46	-0.901217	32.816293	50.893225	0.005352	0.7
47	-0.908442	32.714885	50.989306	0.007253	0.7
48	-0.894316	33.714876	50.057405	0.005145	0.8
49	-0.902030	34.714876	49.158949	0.002854	0.7
50	-0.899014	34.613468	49.248587	0.002764	2.3
51	-0.918102	34.512093	49.338524	0.006384	2.1
52	-0.892925	34.424814	49.416218	0.009839	0.7
53	-0.900766	35.424814	48.540430	0.010844	0.7
54	-0.919638	36.424814	47.695143	0.013583	0.7
55	-0.915532	37.424814	46.878792	0.011325	0.7
56	-0.914971	38.424814	46.089916	0.006818	0.7
57	-0.934665	39.424814	45.327152	0.002299	0.7
58	-0.925098	39.323860	45.403008	0.003603	0.7
59	-0.907577	39.232250	45.472064	0.004987	0.7
60	-0.927915	40.232250	44.729448	0.005911	0.7
61	-0.879505	41.232250	44.010697	0.008223	0.7
62	-0.903820	41.130994	44.082422	0.007951	0.7
63	-0.906619	42.130994	43.384153	0.008605	0.7
