1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.580218	0.000000	120.625729	0.013409	7.2
1	-0.609813	0.000000	120.625729	0.016932	0.7
2	-0.597256	0.000000	120.625729	0.017293	0.8
3	-0.638466	1.000000	115.142741	0.014731	0.7
4	-0.613819	2.000000	110.136535	0.009087	0.7
5	-0.589078	3.000000	105.547512	0.008106	0.7
6	-0.624856	2.768462	106.575692	0.011613	0.6
7	-0.620762	2.536925	107.624096	0.014750	0.7
8	-0.632309	3.536925	103.237887	0.007538	0.7
9	-0.625131	4.141632	100.754806	0.007860	0.7
10	-0.630142	5.140946	96.903160	0.008653	0.7
11	-0.642165	6.095798	93.488307	0.009339	0.6
12	-0.654559	5.974903	93.907301	0.004354	0.7
13	-0.622582	6.968172	90.572252	0.008720	0.7
14	-0.626740	6.737271	91.326228	0.008874	0.7
15	-0.659834	7.736203	88.151533	0.009565	0.7
16	-0.635465	7.504720	88.867399	0.011868	0.7
17	-0.623027	8.504720	85.855427	0.009281	0.7
18	-0.641206	9.504720	83.040930	0.007181	0.7
19	-0.641708	9.273182	83.676051	0.006054	0.6
20	-0.631614	10.234397	81.100982	0.009040	0.8
21	-0.634727	11.229942	78.595870	0.013155	0.7
22	-0.642342	11.175917	78.727835	0.010255	0.7
23	-0.628046	12.175917	76.354793	0.010321	0.7
24	-0.638099	12.892965	74.739412	0.010507	0.7
25	-0.615806	13.892262	72.598913	0.006815	0.6
26	-0.649583	14.770977	70.815519	0.008001	0.8
27	-0.626306	14.539439	71.276879	0.008052	0.7
28	-0.622897	15.537721	69.329456	0.007349	0.7
29	-0.649917	16.537718	67.482534	0.006032	0.7
30	-0.635172	17.536480	65.733568	0.009972	0.7
31	-0.676054	17.305207	66.130442	0.006119	0.7
32	-0.617554	18.305206	64.447959	0.009470	0.7
33	-0.667275	18.169433	64.671356	0.012286	0.7
34	-0.637479	19.169433	63.061391	0.007938	0.7
35	-0.625701	20.169433	61.529638	0.009626	0.7
36	-0.654077	21.169430	60.070536	0.006306	0.8
37	-0.629695	22.050491	58.841148	0.013018	0.8
38	-0.643155	21.818953	59.159324	0.012734	0.7
39	-0.646721	22.818953	57.809238	0.011522	0.7
40	-0.632216	23.818953	56.519399	0.013473	0.7
41	-0.641282	24.405419	55.789382	0.008949	0.6
42	-0.639379	25.405418	54.587166	0.010485	0.7
43	-0.628890	26.405026	53.436112	0.012340	0.7
44	-0.636604	26.173488	53.698388	0.009973	0.7
45	-0.642618	27.173488	52.583701	0.006912	0.7
46	-0.642682	26.942057	52.837539	0.012705	0.7
47	-0.656657	26.775765	53.021449	0.010035	0.7
48	-0.626931	27.775765	51.934404	0.011593	0.7
49	-0.668001	28.775765	50.891037	0.005565	0.6
50	-0.666597	29.775765	49.888767	0.010872	0.7
51	-0.655389	29.544227	50.117303	0.008814	0.7
52	-0.677702	30.544224	49.144989	0.013089	0.7
53	-0.668509	31.544224	48.209682	0.010310	0.7
54	-0.653355	31.312691	48.423055	0.007069	0.7
55	-0.656602	31.788573	47.986527	0.008939	3.1
56	-0.642751	31.557172	48.197805	0.010565	0.8
57	-0.670210	31.325634	48.411077	0.009485	0.7
58	-0.669015	32.323744	47.504922	0.012501	0.7
59	-0.652690	33.323744	46.630444	0.007282	0.7
60	-0.656511	34.323744	45.787579	0.007937	0.7
61	-0.682231	35.323744	44.974644	0.006413	0.7
62	-0.636115	35.238412	45.042884	0.014472	0.7
