1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.850743	0.000000	24.929524	0.024429	17.6
1	-0.879855	0.000000	24.929524	0.020063	0.8
2	-0.861890	0.000000	24.929524	0.008026	0.7
3	-0.884737	0.000000	24.929524	0.004195	0.7
4	-0.857611	0.988159	23.809179	0.013645	0.7
5	-0.845504	0.879627	23.927282	0.020820	0.7
6	-0.840109	1.879627	22.881492	0.020440	0.8
7	-0.852563	2.879627	21.923291	0.015448	0.7
8	-0.882567	3.879627	21.042116	0.018293	0.7
9	-0.873729	4.879627	20.229040	0.017087	0.7
10	-0.871064	5.879627	19.476461	0.010317	0.7
11	-0.863740	6.879627	18.777870	0.015849	0.7
12	-0.890519	6.771095	18.851255	0.021983	0.7
13	-0.854376	7.771095	18.196040	0.006799	0.7
14	-0.892070	8.771095	17.584842	0.022403	0.7
15	-0.834115	8.662564	17.649183	0.033560	0.7
16	-0.892112	9.662564	17.073589	0.024182	0.7
17	-0.841067	10.662564	16.534353	0.017926	0.7
18	-0.871091	11.662564	16.028136	0.015307	0.7
19	-0.852272	12.662564	15.551995	0.021427	0.7
20	-0.900202	13.662564	15.103326	0.008620	0.7
21	-0.859142	14.662564	14.679820	0.014505	0.7
22	-0.881568	14.554032	14.724631	0.014040	0.8
23	-0.866116	14.445500	14.769717	0.018831	0.7
24	-0.885399	15.445500	14.364462	0.007479	0.7
25	-0.851478	16.443098	13.981749	0.009904	0.7
26	-0.868645	17.427519	13.623571	0.007607	0.7
27	-0.868490	18.427518	13.278036	0.015772	0.7
28	-0.890672	19.427518	12.949596	0.019326	0.7
29	-0.879692	20.427518	12.637011	0.015090	0.7
30	-0.842824	21.427518	12.339162	0.010689	0.7
31	-0.869576	22.427518	12.055029	0.011437	0.7
32	-0.834889	23.427518	11.783688	0.009585	0.9
33	-0.848540	24.427518	11.524293	0.014252	0.7
34	-0.837733	25.427518	11.276071	0.019036	0.7
35	-0.869266	26.427518	11.038318	0.008245	0.7
36	-0.872213	27.427518	10.810383	0.019142	0.7
37	-0.859301	28.427518	10.591671	0.005039	0.7
38	-0.857433	29.427518	10.381633	0.024070	0.7
39	-0.839018	29.318987	10.404025	0.021276	0.7
40	-0.881929	30.318987	10.201293	0.016358	0.7
41	-0.846839	31.318987	10.006310	0.006509	0.7
42	-0.835298	31.210455	10.027111	0.027241	0.6
43	-0.888462	32.210455	9.838668	0.011458	0.7
44	-0.848249	33.210455	9.657178	0.009910	0.7
45	-0.871891	33.101923	9.676551	0.006508	0.6
46	-0.856189	32.993464	9.695989	0.011508	0.6
47	-0.897199	33.993464	9.519677	0.014446	0.7
48	-0.853856	34.993464	9.349663	0.006811	0.6
49	-0.852158	35.993464	9.185615	0.014075	0.7
50	-0.872654	35.884932	9.203140	0.022384	0.7
51	-0.836720	36.884932	9.044150	0.031661	0.6
52	-0.849998	37.884932	8.890560	0.013313	0.6
53	-0.875462	38.884932	8.742099	0.010468	0.6
54	-0.911102	38.776400	8.757972	0.009857	0.7
55	-0.865606	38.667868	8.773902	0.007785	0.7
56	-0.870762	39.667868	8.629280	0.015876	0.6
