1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.584755	0.000000	15.153265	0.017437	14.0
1	-0.570961	0.000000	15.153265	0.040746	0.6
2	-0.572373	0.000000	15.153265	0.024637	0.6
3	-0.587863	1.000000	14.464480	0.015393	0.7
4	-0.596163	2.000000	13.835590	0.013192	0.7
5	-0.563323	1.803583	13.954762	0.024451	0.7
6	-0.567486	1.600854	14.079935	0.019483	0.7
7	-0.576515	2.600854	13.483350	0.022800	0.7
8	-0.580187	3.600050	12.935688	0.006342	0.6
9	-0.588114	3.406659	13.038186	0.021600	0.7
10	-0.574480	3.219398	13.138996	0.016970	0.7
11	-0.578241	4.219398	12.618008	0.020441	0.8
12	-0.620500	5.219397	12.136761	0.014491	0.8
13	-0.617117	6.219397	11.690875	0.022017	3.7
14	-0.595977	7.219397	11.276590	0.015375	0.6
15	-0.567523	8.219397	10.890662	0.005886	0.7
16	-0.582055	8.017423	10.966465	0.011632	0.6
17	-0.580203	7.816661	11.042867	0.005089	0.6
18	-0.579059	8.752584	10.695493	0.012243	0.6
19	-0.570513	8.552304	10.767978	0.010689	0.7
20	-0.598258	8.349596	10.842349	0.012634	0.6
21	-0.581059	9.349363	10.485181	0.017947	0.7
22	-0.612849	9.818395	10.325605	0.014224	0.6
23	-0.579849	10.818394	10.001088	0.021472	0.6
24	-0.600257	11.818394	9.696348	0.012724	0.6
25	-0.585971	12.818394	9.409630	0.003485	0.6
26	-0.598900	13.660713	9.180958	0.009043	0.6
27	-0.574092	13.546142	9.211407	0.020072	0.7
28	-0.603475	14.546082	8.952282	0.017014	0.6
29	-0.585590	14.343380	9.003626	0.014466	0.7
30	-0.571114	14.140651	9.055568	0.006579	0.6
31	-0.570185	15.084112	8.818800	0.006128	0.6
32	-0.595683	14.905159	8.862753	0.028874	0.6
33	-0.605256	15.839477	8.637977	0.028894	0.6
34	-0.581007	15.636748	8.685775	0.008481	0.6
35	-0.581262	16.636747	8.454996	0.018105	0.6
36	-0.582153	16.434028	8.500783	0.020210	0.6
37	-0.568180	17.339971	8.299917	0.017265	0.6
38	-0.549969	18.339971	8.088937	0.005363	0.6
39	-0.568199	18.152170	8.127737	0.003413	0.6
40	-0.587398	18.405621	8.075461	0.007189	0.6
41	-0.621920	18.461050	8.064118	0.026947	0.7
42	-0.588957	19.458062	7.865393	0.008972	0.7
43	-0.580856	20.458062	7.675674	0.009404	0.8
44	-0.612537	21.436877	7.498633	0.017963	0.8
45	-0.573533	22.422399	7.328443	0.003025	2.7
46	-0.600010	22.419046	7.329009	0.013858	0.6
47	-0.575617	22.302406	7.348750	0.018216	0.7
48	-0.615492	23.302204	7.182906	0.034893	0.7
49	-0.581341	24.298540	7.024919	0.014858	0.7
50	-0.620463	25.040474	6.911714	0.018788	0.7
51	-0.615125	26.040474	6.764782	0.015810	0.7
52	-0.583234	27.040464	6.623969	0.016880	0.7
53	-0.630383	26.837917	6.652015	0.012162	0.7
54	-0.581155	27.837915	6.515810	0.005778	0.7
55	-0.577187	28.782703	6.392151	0.005801	0.6
56	-0.600305	28.611646	6.414191	0.006951	0.6
57	-0.602426	29.274729	6.329593	0.007779	0.6
58	-0.584374	29.850460	6.257929	0.015890	0.6
59	-0.597926	29.647753	6.282975	0.014627	0.6
60	-0.589280	30.647752	6.161325	0.005987	0.7
61	-0.601898	30.452386	6.184719	0.022531	0.6
62	-0.593545	31.308043	6.083549	0.019770	0.7
63	-0.614803	31.105314	6.107219	0.018963	0.6
64	-0.612128	32.105314	5.992217	0.015113	0.6
65	-0.593487	31.927065	6.012398	0.014588	0.6
66	-0.581284	32.926345	5.900985	0.017902	0.7
67	-0.577789	32.723625	5.923252	0.011315	0.6
68	-0.583980	33.721197	5.815271	0.023375	0.6
69	-0.588106	33.518478	5.836894	0.012503	0.6
70	-0.568433	34.518478	5.731760	0.010704	0.6
71	-0.599402	35.518041	5.630389	0.014867	0.7
72	-0.577745	35.963907	5.586319	0.003531	0.6
73	-0.583643	36.143380	5.568774	0.003396	0.6
74	-0.600316	36.298467	5.553701	0.004863	0.6
75	-0.612794	36.299505	5.553601	0.011520	0.7
76	-0.572081	36.118388	5.571210	0.018434	0.6
77	-0.601257	37.118386	5.475351	0.011102	0.6
78	-0.601576	37.029500	5.483738	0.009039	0.7
79	-0.569582	36.912090	5.494855	0.010809	0.7
80	-0.591236	37.895933	5.403065	0.008467	0.6
81	-0.588530	37.696071	5.421463	0.016090	0.7
82	-0.578229	38.695644	5.330683	0.013209	0.6
83	-0.600855	39.695644	5.242857	0.007626	0.6
84	-0.584181	39.500811	5.259740	0.008904	0.6
85	-0.594429	39.817954	5.232313	0.010173	0.6
86	-0.564975	40.542544	5.170709	0.003510	0.6
87	-0.594452	40.362062	5.185917	0.011400	0.6
88	-0.600098	40.206018	5.199139	0.030356	0.6
89	-0.580063	41.206018	5.115559	0.011529	0.6
90	-0.585934	42.206018	5.034624	0.021493	0.6
91	-0.572417	42.311200	5.026260	0.012080	0.6
92	-0.586588	43.150653	4.960488	0.009460	0.7
93	-0.587433	42.948149	4.976197	0.009900	0.6
94	-0.560641	43.927261	4.901155	0.000669	0.7
95	-0.591849	43.900733	4.903158	0.009403	0.6
96	-0.612174	43.914136	4.902146	0.016111	0.6
97	-0.565179	44.914082	4.827778	0.013801	0.6
98	-0.605867	44.711395	4.842669	0.016217	0.6
99	-0.574908	45.711394	4.770078	0.003545	0.6
100	-0.578510	45.515805	4.784105	0.008049	0.7
101	-0.581295	45.447935	4.788991	0.007083	0.6
102	-0.586737	45.418751	4.791095	0.019619	0.6
103	-0.601937	46.417930	4.720088	0.008993	0.6
104	-0.569456	46.215201	4.734324	0.017851	0.6
105	-0.574221	47.214427	4.664974	0.013275	0.7
106	-0.560005	47.011759	4.678876	0.012192	0.7
107	-0.577134	48.011670	4.611083	0.017785	0.7
108	-0.619568	49.010245	4.545314	0.017654	0.8
109	-0.594959	50.010245	4.481305	0.016968	0.8
110	-0.546466	51.010245	4.419073	0.010190	0.7
111	-0.615774	51.981097	4.360287	0.006501	0.7
112	-0.558864	52.868081	4.307931	0.013001	0.7
113	-0.567048	52.665826	4.319758	0.020578	0.7
114	-0.586142	53.665826	4.261904	0.021100	0.7
115	-0.598596	53.463097	4.273507	0.013991	0.7
116	-0.598773	54.463097	4.216877	0.008464	0.7
117	-0.592029	54.260746	4.228214	0.018156	0.6
118	-0.589202	55.059857	4.183791	0.010600	0.7
119	-0.573383	56.059831	4.129500	0.008942	0.6
120	-0.583784	56.565951	4.102555	0.006395	0.7
121	-0.557126	57.482048	4.054667	0.009786	0.7
122	-0.610938	57.547436	4.051292	0.009028	0.7
123	-0.597116	57.961162	4.030064	0.007025	0.6
124	-0.594991	58.738855	3.990759	0.010484	0.6
125	-0.612685	59.112850	3.972129	0.002419	0.7
126	-0.586732	59.071657	3.974172	0.003447	0.6
127	-0.579308	58.999013	3.977781	0.014982	0.6
128	-0.563573	59.545929	3.950772	0.005288	0.6
129	-0.585170	59.346379	3.960584	0.022632	0.6
130	-0.577405	59.159818	3.969801	0.013912	0.7
131	-0.570136	60.159818	3.920888	0.019433	0.6
132	-0.558882	59.957089	3.930707	0.018480	0.7
133	-0.599351	60.899728	3.885465	0.004792	0.7
134	-0.583991	60.784370	3.890946	0.020383	0.7
135	-0.587414	60.582079	3.900594	0.012347	0.6
136	-0.590758	60.379350	3.910311	0.018547	0.6
137	-0.594583	61.184852	3.871986	0.005906	0.6
138	-0.598772	62.154947	3.826815	0.016814	0.6
139	-0.581242	63.092072	3.784168	0.004963	0.6
140	-0.581561	63.221013	3.778375	0.005623	0.6
141	-0.575034	63.055550	3.785813	0.017523	0.6
142	-0.607442	62.853304	3.794944	0.017531	0.6
143	-0.593291	63.833694	3.751087	0.022258	0.6
144	-0.570179	64.833694	3.707385	0.014897	0.6
145	-0.605685	65.833694	3.664690	0.009840	0.6
146	-0.576472	66.832736	3.623006	0.022103	0.6
147	-0.598458	67.832014	3.582251	0.013999	0.6
148	-0.576800	67.822753	3.582624	0.017078	0.6
149	-0.599874	68.822753	3.542739	0.020974	0.6
150	-0.617260	69.822753	3.503732	0.017220	0.6
151	-0.566092	69.620330	3.511558	0.009291	0.6
152	-0.598310	69.419741	3.519348	0.005077	0.6
153	-0.602281	69.269741	3.525196	0.013044	0.6
154	-0.591575	69.069709	3.533025	0.008059	0.7
155	-0.623965	68.873730	3.540729	0.036006	0.6
156	-0.586433	69.873730	3.501766	0.006136	0.6
157	-0.606005	70.873729	3.463651	0.018026	0.7
158	-0.560001	71.379588	3.444685	0.017951	0.6
159	-0.580085	71.176858	3.452261	0.023647	0.6
160	-0.591947	72.176858	3.415210	0.016122	0.6
161	-0.573780	71.974166	3.422656	0.006912	0.6
162	-0.585419	72.970783	3.386356	0.005745	0.6
163	-0.573032	72.792331	3.392799	0.021216	0.6
164	-0.564584	72.589887	3.400138	0.009036	0.6
165	-0.593792	73.588148	3.364254	0.006480	0.6
166	-0.559206	73.402219	3.370880	0.012694	0.7
167	-0.571226	74.384980	3.336150	0.007428	0.7
168	-0.570200	75.310452	3.304092	0.005674	0.7
169	-0.593854	75.844854	3.285859	0.015472	0.6
170	-0.588324	75.648915	3.292521	0.018055	0.7
171	-0.580565	75.446186	3.299442	0.004808	0.7
172	-0.575280	76.437378	3.265878	0.005012	0.6
173	-0.611555	76.427359	3.266214	0.007556	0.6
174	-0.565127	76.665118	3.258262	0.013629	0.6
175	-0.594548	76.463246	3.265011	0.022207	0.7
176	-0.629769	77.463246	3.231851	0.004898	0.6
177	-0.608578	77.262928	3.238440	0.020985	3.0
178	-0.589031	77.116690	3.243266	0.009842	0.7
179	-0.587690	78.116688	3.210545	0.005253	0.7
180	-0.601460	77.929491	3.216620	0.012624	0.7
181	-0.584719	78.896631	3.185478	0.008238	0.7
182	-0.611065	79.890710	3.154092	0.008236	0.6
183	-0.589426	80.790893	3.126199	0.004990	0.7
184	-0.598057	80.628195	3.131204	0.020940	0.6
185	-0.582587	80.425909	3.137448	0.016946	0.6
186	-0.545750	80.223180	3.143732	0.011366	0.6
187	-0.596354	80.025624	3.149880	0.017858	0.6
188	-0.558958	81.025618	3.119006	0.017941	0.6
189	-0.569276	80.822904	3.125216	0.006610	0.7
190	-0.554077	81.818986	3.094940	0.018052	0.6
191	-0.572503	82.793791	3.065873	0.015634	0.6
192	-0.608428	82.604585	3.071472	0.006879	0.6
193	-0.553547	83.556677	3.043503	0.007788	0.6
194	-0.581057	83.357510	3.049312	0.018107	0.7
195	-0.588673	83.154856	3.055245	0.020324	0.7
196	-0.577527	84.154856	3.026190	0.015553	0.6
197	-0.565312	83.952127	3.032035	0.004495	0.6
198	-0.569274	84.927721	3.004110	0.003634	0.6
199	-0.600518	85.234566	2.995433	0.009607	0.6
200	-0.578767	85.086778	2.999606	0.009502	0.6
201	-0.575718	86.081722	2.971736	0.015621	0.6
202	-0.584999	87.013656	2.946096	0.021933	0.6
203	-0.585810	88.013656	2.919071	0.011953	0.6
204	-0.603277	87.810927	2.924509	0.018785	0.6
205	-0.569487	88.810927	2.897877	0.015862	0.6
206	-0.578772	88.608201	2.903237	0.011464	0.6
207	-0.586960	89.577444	2.877789	0.018386	0.6
208	-0.581747	90.577360	2.851999	0.013965	0.6
209	-0.590404	90.379490	2.857066	0.016240	0.6
210	-0.556744	90.565923	2.852292	0.014000	0.6
211	-0.570787	90.363337	2.857480	0.006425	0.6
212	-0.569887	90.179746	2.862199	0.020102	0.7
213	-0.604086	90.177846	2.862248	0.007261	0.6
214	-0.580363	89.975142	2.867476	0.013831	0.7
215	-0.595485	89.828413	2.871272	0.011919	0.6
216	-0.571523	89.688448	2.874903	0.012943	0.7
217	-0.587085	89.528940	2.879052	0.012062	0.6
218	-0.582621	89.326213	2.884342	0.015721	0.7
219	-0.618390	90.326205	2.858434	0.009253	0.7
220	-0.592500	90.153395	2.862878	0.007965	0.7
221	-0.593029	90.063089	2.865205	0.006382	0.6
222	-0.563208	90.061728	2.865241	0.014665	0.6
223	-0.579768	90.926470	2.843104	0.008862	0.6
224	-0.579273	90.725869	2.848208	0.009698	0.6
225	-0.613029	91.591927	2.826300	0.023729	1.0
226	-0.580706	91.389338	2.831395	0.008223	0.7
227	-0.583621	92.389118	2.806429	0.015226	0.6
228	-0.614339	93.388400	2.781913	0.026155	0.6
229	-0.598380	94.386571	2.757847	0.029056	0.6
230	-0.607838	94.183841	2.762701	0.014445	0.7
231	-0.617155	95.183841	2.738923	0.019885	0.6
232	-0.569520	96.183761	2.715552	0.004221	0.6
233	-0.585238	95.981424	2.720249	0.014898	0.6
234	-0.600948	96.189329	2.715423	0.006555	0.6
235	-0.599859	96.016642	2.719430	0.018626	0.6
236	-0.597513	96.879260	2.699530	0.015714	0.7
237	-0.580633	97.879260	2.676822	0.011334	0.7
238	-0.611224	98.796210	2.656332	0.016259	0.7
239	-0.580504	98.593483	2.660835	0.010745	0.6
240	-0.545049	98.391370	2.665340	0.017706	0.6
241	-0.588800	98.214603	2.669292	0.007104	0.6
242	-0.580737	99.207311	2.647248	0.024614	0.6
243	-0.585490	100.206864	2.625417	0.007022	0.6
244	-0.605773	100.137135	2.626928	0.007661	0.6
245	-0.600717	100.809241	2.612434	0.010775	0.7
246	-0.584371	101.238663	2.603256	0.014908	0.7
247	-0.594289	101.035977	2.607580	0.021647	0.6
248	-0.596930	102.035977	2.586386	0.018155	0.7
249	-0.593980	101.833248	2.590655	0.009575	0.7
