1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.480241	0.000000	9.994319	0.060704	20.1
1	-0.478642	0.000000	9.994319	0.047459	0.6
2	-0.476800	0.000000	9.994319	0.033001	0.7
3	-0.488163	0.999994	9.540034	0.037533	0.6
4	-0.477659	0.641348	9.698134	0.047084	0.6
5	-0.503152	1.641348	9.269797	0.018370	0.6
6	-0.488994	1.287506	9.416967	0.013839	0.6
7	-0.478616	1.963337	9.139817	0.042475	0.6
8	-0.447110	1.604692	9.284829	0.042929	0.6
9	-0.478047	2.604692	8.891482	0.022780	0.6
10	-0.514818	3.604692	8.530109	0.004995	0.6
11	-0.484206	4.333314	8.284771	0.037133	0.6
12	-0.506275	4.179996	8.335216	0.011364	0.6
13	-0.478001	5.168285	8.020422	0.023650	0.6
14	-0.483823	4.811680	8.131230	0.017956	0.7
15	-0.488749	5.728580	7.852295	0.035065	0.6
16	-0.479284	6.727331	7.569452	0.021438	0.6
17	-0.488253	7.727331	7.305959	0.033231	0.6
18	-0.502907	7.368706	7.398318	0.026983	0.6
19	-0.464149	8.368694	7.146409	0.023481	0.6
20	-0.504298	9.368690	6.911089	0.022968	0.6
21	-0.489447	9.010045	6.993682	0.025627	0.6
22	-0.509634	8.651550	7.078237	0.028503	0.7
23	-0.464516	9.651510	6.847320	0.014472	0.6
24	-0.490770	9.292923	6.928374	0.038758	0.6
25	-0.538131	10.271935	6.711472	0.001885	0.6
26	-0.480848	10.203396	6.726213	0.007409	0.6
27	-0.453351	10.221945	6.722217	0.007539	0.6
28	-0.487235	10.019034	6.766191	0.023949	0.6
29	-0.479898	10.910017	6.577267	0.020170	0.7
30	-0.511135	11.909978	6.377418	0.009894	0.7
31	-0.473620	11.557124	6.446537	0.022500	0.6
32	-0.485575	12.461139	6.272372	0.012907	2.6
33	-0.525555	12.539323	6.257750	0.021567	0.6
34	-0.451997	13.351717	6.109759	0.023898	0.6
35	-0.477412	14.351616	5.936948	0.037617	0.7
36	-0.506451	15.338710	5.775679	0.031883	0.6
37	-0.498089	16.338709	5.620995	0.027029	0.6
