1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.502792	0.000000	116.046826	0.013186	6.9
1	-0.533343	0.000000	116.046826	0.014658	0.7
2	-0.485793	0.000000	116.046826	0.013720	0.6
3	-0.500804	0.999983	110.772054	0.014621	1.9
4	-0.516936	0.300525	114.409543	0.016446	0.7
5	-0.534796	1.300514	109.279244	0.016854	0.7
6	-0.538045	2.300514	104.589251	0.013157	0.7
7	-0.532969	1.885631	106.485300	0.011249	0.7
8	-0.551857	2.647219	103.055811	0.014669	0.7
9	-0.540852	3.638353	98.910157	0.014384	0.7
10	-0.525143	4.515938	95.508279	0.013364	1.4
11	-0.501862	3.816733	98.199202	0.013608	0.7
12	-0.533268	4.783888	94.515744	0.017196	0.6
13	-0.548330	5.676734	91.352387	0.019018	0.7
14	-0.527431	4.977276	93.812120	0.015151	0.8
15	-0.566369	5.977276	90.334670	0.014329	0.8
16	-0.559168	6.977274	87.105820	0.011927	0.7
17	-0.539539	6.277816	89.339387	0.013717	0.6
18	-0.529842	5.578358	91.690517	0.012158	0.6
19	-0.581232	4.880384	94.163339	0.016322	0.7
20	-0.549072	5.880123	90.661166	0.016673	0.7
21	-0.521287	6.880123	87.409346	0.014536	0.8
22	-0.561854	7.880123	84.382719	0.017235	0.7
23	-0.543293	8.753688	81.905253	0.014482	0.7
24	-0.551930	9.747618	79.257631	0.014976	0.6
25	-0.544202	10.747617	76.761141	0.014928	0.7
26	-0.550431	11.472130	75.048460	0.013037	0.7
27	-0.549016	12.472124	72.806355	0.012895	0.7
28	-0.559568	13.454234	70.731028	0.014267	0.6
29	-0.576451	14.454233	68.736034	0.017016	0.7
30	-0.550037	15.454233	66.850490	0.009281	0.7
31	-0.609159	16.454220	65.065655	0.018480	0.7
32	-0.579256	17.454220	63.373626	0.014458	0.7
33	-0.559189	18.454216	61.767374	0.013187	0.7
34	-0.571298	19.452752	60.242709	0.016722	0.7
35	-0.569363	18.753294	61.302678	0.012980	0.7
36	-0.575820	19.750104	59.803119	0.015106	0.7
37	-0.521396	20.127773	59.253957	0.009796	0.7
38	-0.594256	19.436078	60.267549	0.010969	0.7
39	-0.547286	18.768308	61.279532	0.008771	0.7
40	-0.561824	19.589568	60.039647	0.014277	0.7
41	-0.566548	20.580980	58.608127	0.011580	0.7
42	-0.587406	20.526275	58.685335	0.011909	0.7
43	-0.558052	20.841239	58.243575	0.012202	0.7
44	-0.535843	21.841237	56.884057	0.009321	0.7
45	-0.573238	21.313344	57.593731	0.014720	0.7
46	-0.552941	22.312533	56.265085	0.014511	0.7
47	-0.542640	23.312532	54.995353	0.012134	0.7
48	-0.567289	24.312527	53.781670	0.015346	0.7
49	-0.552751	25.308114	52.625407	0.015117	0.6
50	-0.591343	26.173575	51.659925	0.012132	0.7
51	-0.580752	25.476508	52.434734	0.012746	0.7
52	-0.560061	26.356077	51.460837	0.009748	0.7
53	-0.618374	27.259803	50.497167	0.013864	0.7
54	-0.579679	26.893021	50.883893	0.011644	0.7
55	-0.538740	26.201930	51.628892	0.012973	0.7
56	-0.562081	27.201739	50.557996	0.010522	0.6
57	-0.586528	28.201739	49.530431	0.010860	0.7
58	-0.554686	29.081906	48.659956	0.013499	0.7
59	-0.551042	28.514906	49.217166	0.014878	0.6
60	-0.608812	29.514237	48.243495	0.017857	0.7
61	-0.567079	29.742481	48.026492	0.013571	0.7
62	-0.557755	29.637924	48.125657	0.011972	0.7
63	-0.596507	30.631915	47.199167	0.010697	0.7
64	-0.584151	29.934594	47.845347	0.015880	0.7
65	-0.564073	30.934594	46.924086	0.012858	0.7
66	-0.562397	31.934594	46.037632	0.010285	0.7
67	-0.639994	31.235379	46.653885	0.011430	0.7
68	-0.565683	31.842359	46.117989	0.013355	0.7
69	-0.574854	31.213794	46.673171	0.014797	0.7
70	-0.555999	30.669305	47.165011	0.014705	0.7
71	-0.582412	31.669305	46.269518	0.015158	0.7
72	-0.598017	32.663507	45.412301	0.018668	0.6
73	-0.574716	33.637150	44.603046	0.016785	0.7
74	-0.571950	34.584239	43.843064	0.016790	0.6
75	-0.577115	35.584239	43.068236	0.016174	0.7
76	-0.604163	36.034995	42.727861	0.012831	0.7
77	-0.589172	35.335551	43.258357	0.014525	0.8
78	-0.594364	36.307171	42.524928	0.016610	0.7
79	-0.578668	35.607723	43.050369	0.015607	0.7
80	-0.593820	36.607723	42.303067	0.013841	0.6
81	-0.594605	37.114113	41.934449	0.016903	0.7
82	-0.587469	38.110486	41.227598	0.014618	0.7
83	-0.571449	39.110478	40.541740	0.011709	0.7
84	-0.573087	38.600811	40.888426	0.010613	0.7
85	-0.563071	39.513292	40.271868	0.011335	0.7
86	-0.543072	38.814598	40.742284	0.011996	0.7
87	-0.608749	39.696989	40.149987	0.010688	0.7
88	-0.584955	39.006038	40.612302	0.016123	0.7
89	-0.587529	40.004621	39.947521	0.013929	0.6
90	-0.562802	39.305326	40.410748	0.016360	1.7
91	-0.573441	38.605891	40.884941	0.012434	0.7
92	-0.609573	39.605891	40.210338	0.012880	0.7
93	-0.574805	40.591021	39.567185	0.012836	0.7
94	-0.580621	41.590910	38.935100	0.010723	0.8
95	-0.589057	40.896557	39.371872	0.014640	0.9
96	-0.575464	41.780258	38.817670	0.016076	0.8
97	-0.614817	41.080804	39.255022	0.017418	0.8
98	-0.621027	40.381346	39.702344	0.012491	0.9
99	-0.576838	39.681888	40.159979	0.015038	0.8
100	-0.602613	38.982430	40.628286	0.010532	0.8
101	-0.568594	39.982430	39.962057	0.013110	0.7
102	-0.590311	40.952812	39.336121	0.014874	0.7
103	-0.572220	40.254479	39.784574	0.015081	0.7
104	-0.596286	41.254179	39.145699	0.015437	0.7
105	-0.623396	42.254116	38.526874	0.009334	0.7
106	-0.582866	42.770993	38.214606	0.014035	0.7
107	-0.587103	42.071546	38.638395	0.017188	0.7
108	-0.606397	41.372096	39.071693	0.010903	0.7
109	-0.612304	40.868714	39.389591	0.012492	0.7
110	-0.578200	41.011794	39.298707	0.015381	0.7
111	-0.592435	42.011791	38.675037	0.013369	0.7
112	-0.668068	42.793355	38.201210	0.011271	0.7
113	-0.634915	43.771640	37.624234	0.009849	0.7
114	-0.631481	43.083198	38.028429	0.009461	0.7
115	-0.584129	43.343858	37.874374	0.011548	0.6
116	-0.617479	44.343705	37.294845	0.011199	0.7
117	-0.630599	44.235151	37.356905	0.013875	0.7
118	-0.614560	45.233829	36.793635	0.012430	0.6
119	-0.634318	46.229794	36.248562	0.014731	0.7
120	-0.605271	47.177576	35.744646	0.012020	0.7
121	-0.588633	46.478118	36.115165	0.011324	0.6
122	-0.630319	47.421791	35.617065	0.011836	0.7
123	-0.602911	46.867825	35.907786	0.019933	0.7
124	-0.613300	47.845872	35.397668	0.011800	0.8
125	-0.611180	48.843961	34.891826	0.010685	0.7
126	-0.607417	48.184161	35.224585	0.009901	3.4
127	-0.588203	47.485968	35.583688	0.008942	0.7
128	-0.591688	46.797229	35.945176	0.015956	0.7
129	-0.610288	47.797197	35.422713	0.009146	0.7
130	-0.651733	47.750170	35.446943	0.010322	0.7
131	-0.608184	47.444281	35.605361	0.011405	0.6
132	-0.624591	47.959604	35.339288	0.013856	0.7
133	-0.621855	47.288848	35.686403	0.009682	0.7
134	-0.599622	48.168053	35.232788	0.014748	0.7
135	-0.618892	48.617601	35.005276	0.015357	0.7
136	-0.640371	49.617401	34.509672	0.011363	0.7
137	-0.640111	48.918706	34.854526	0.013743	0.7
138	-0.594196	49.918338	34.363233	0.010367	0.6
139	-0.651105	50.868684	33.908835	0.014129	0.6
140	-0.614405	51.867506	33.444034	0.014107	0.7
141	-0.631195	52.867504	32.991278	0.013025	0.6
142	-0.600286	52.173770	33.304056	0.008629	0.7
143	-0.586641	52.328980	33.233564	0.011245	0.7
144	-0.628178	52.527876	33.143666	0.013849	0.7
145	-0.611684	51.831493	33.460571	0.010995	0.6
146	-0.625249	52.831437	33.007394	0.012527	0.6
147	-0.612010	53.831431	32.566307	0.012851	0.7
148	-0.606792	54.831425	32.136853	0.012437	1.7
149	-0.594925	54.473941	32.289070	0.011789	0.7
150	-0.644321	55.196315	31.982955	0.009410	0.6
151	-0.605664	56.192578	31.570177	0.013134	0.6
152	-0.633651	57.165539	31.177209	0.015986	0.7
153	-0.628872	56.466089	31.458711	0.013856	0.7
154	-0.625882	55.766631	31.745347	0.014935	0.6
155	-0.598472	55.542426	31.838334	0.015453	0.7
156	-0.600522	54.846172	32.130604	0.010377	0.6
157	-0.620565	55.846147	31.712499	0.013589	0.7
158	-0.596414	55.156466	31.999690	0.010204	0.6
159	-0.634847	54.514308	32.271809	0.019732	0.7
160	-0.593794	54.964578	32.080522	0.014184	0.7
161	-0.625629	55.964578	31.663701	0.018220	0.7
162	-0.612376	55.265120	31.954101	0.008465	0.7
163	-0.612320	55.389126	31.902228	0.015839	0.7
164	-0.614871	54.689668	32.197041	0.011206	0.7
165	-0.606349	55.689668	31.777205	0.014769	0.7
