1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.374691	0.000000	5.148757	0.030362	42.5
1	-0.418136	0.000000	5.148757	0.067572	0.6
2	-0.413353	0.000000	5.148757	0.042157	0.6
3	-0.423722	0.999999	4.914723	0.079614	0.6
4	-0.388694	1.445810	4.817109	0.087705	0.6
5	-0.435999	2.445810	4.611652	0.058700	0.6
6	-0.392615	3.445810	4.423004	0.029136	0.6
7	-0.409572	4.445632	4.249213	0.008275	0.6
8	-0.437241	4.782043	4.193768	0.020895	0.6
9	-0.433643	4.774666	4.194968	0.040906	0.6
10	-0.414810	4.222815	4.286750	0.100664	0.6
11	-0.394344	5.222800	4.123278	0.071377	0.6
12	-0.418577	6.222800	3.971814	0.052010	0.7
13	-0.418377	7.222799	3.831084	0.042764	0.7
14	-0.413816	8.222789	3.699986	0.037488	0.7
15	-0.408890	7.616180	3.778419	0.085591	0.6
16	-0.405369	8.616180	3.650839	0.031402	2.2
17	-0.404924	9.149671	3.586238	0.031759	0.6
18	-0.411179	8.648103	3.646908	0.037067	0.6
19	-0.394844	8.044189	3.722738	0.051635	0.6
20	-0.390277	9.044061	3.598845	0.088204	0.7
21	-0.426759	10.044061	3.482918	0.068486	0.7
22	-0.401955	11.044061	3.374226	0.066056	0.7
23	-0.403253	10.453047	3.437629	0.055691	0.6
24	-0.403726	9.879517	3.501477	0.023865	0.6
25	-0.397448	10.870924	3.392556	0.082536	0.6
26	-0.414451	10.319350	3.452304	0.075947	0.6
27	-0.429928	11.319350	3.345485	0.012142	0.6
28	-0.405828	12.130178	3.263608	0.019334	0.6
29	-0.388077	12.406464	3.236616	0.026377	0.7
30	-0.395005	12.704990	3.207949	0.018315	0.6
31	-0.403218	13.089662	3.171751	0.015873	0.6
32	-0.410026	13.005601	3.179591	0.006667	0.6
33	-0.402214	12.934846	3.186221	0.121890	0.6
34	-0.401186	12.840197	3.195132	0.037602	0.6
35	-0.408630	13.825527	3.104731	0.037006	0.7
36	-0.396184	14.594283	3.037676	0.022176	0.6
37	-0.440166	14.099351	3.080510	0.040072	0.6
38	-0.418721	14.519047	3.044111	0.018200	0.6
39	-0.385953	15.406027	2.969945	0.054376	0.6
40	-0.414974	14.859887	3.015177	0.037900	0.6
41	-0.397907	15.038194	3.000259	0.038774	0.6
42	-0.417597	14.877084	3.013732	0.031344	0.6
43	-0.391234	15.825697	2.936099	0.015446	0.6
44	-0.406451	16.697914	2.868167	0.018487	0.6
45	-0.406738	16.300843	2.898699	0.046018	0.6
46	-0.394449	17.234438	2.827919	0.040189	0.6
47	-0.393741	18.213688	2.757300	0.020962	5.5
48	-0.398591	18.457524	2.740261	0.065672	0.6
49	-0.402684	19.157458	2.692499	0.074302	0.6
50	-0.414540	20.157458	2.627079	0.038001	0.6
51	-0.410897	20.816888	2.585652	0.020198	0.6
52	-0.411386	20.750297	2.589776	0.021804	0.7
53	-0.424281	20.596724	2.599337	0.027518	0.6
54	-0.414263	21.418915	2.548955	0.067322	0.6
55	-0.422179	22.418391	2.490279	0.045254	0.6
56	-0.416115	21.811710	2.525569	0.074000	0.6
57	-0.404999	22.811710	2.467923	0.098383	0.6
58	-0.403932	22.205028	2.502577	0.064031	0.7
59	-0.415151	23.205028	2.445964	0.011586	0.6
60	-0.384734	24.155679	2.394470	0.047823	0.7
61	-0.423840	23.619928	2.423220	0.022202	0.7
62	-0.395110	24.591136	2.371599	0.045511	0.7
63	-0.417183	24.795105	2.361036	0.064899	0.6
64	-0.428931	24.188423	2.392735	0.056303	0.7
